*
*
*
*
*
2022/08/18 20:15:03 174					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 20:15:03 225					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					TRACE  							Revisara el resultSet
2022/08/18 21:20:49 961					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:20:49 965					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							CREATE TABLE Tarjeta_NFC(Updated_at TIMESTAMP , Created_at TIMESTAMP );

2022/08/18 21:20:49 993					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							Sentencia para crear tabla de la BD's ejecutada exitosamente

2022/08/18 21:20:49 996					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							Tabla Tarjeta_NFC Creada exitosamente

2022/08/18 21:20:49 999					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							CREATE TABLE Tarjeta_NFC(Updated_at TIMESTAMP , Created_at TIMESTAMP );

2022/08/18 21:20:50 002					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:20:50 107					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:20:50 153					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, existe en BD's

2022/08/18 21:20:50 156					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:20:50 222					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:20:50 245					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$getColumnsTable$1					INFO							Información de las columnas de la tabla correspondiente al modelo obtenida

2022/08/18 21:20:50 253					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada
*
*
*
*
*
2022/08/18 21:21:43 178					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:21:43 248					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:21:43 318					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, existe en BD's

2022/08/18 21:21:43 324					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:21:43 328					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$dropTableIfExist$1  				INFO							DROP TABLE IF EXISTS Tarjeta_NFC

2022/08/18 21:21:43 364					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:21:43 381					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:21:43 379					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$dropTableIfExist$1  				INFO							DROP TABLE IF EXISTS Tarjeta_NFC

2022/08/18 21:21:43 378					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$getColumnsTable$1					INFO							Información de las columnas de la tabla correspondiente al modelo obtenida

2022/08/18 21:21:43 376					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$dropTableIfExist$1  				INFO							Tabla Tarjeta_NFC Eliminada exitosamente

2022/08/18 21:21:43 373					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$dropTableIfExist$1  				INFO							Sentencia para eliminar tabla de la BD's ejecutada exitosamente

2022/08/18 21:21:43 492					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente
*
*
*
*
*
2022/08/18 21:23:13 187					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:23:13 262					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, No existe en BD's

2022/08/18 21:23:13 268					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:23:13 322					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:23:13 325					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							CREATE TABLE Tarjeta_NFC(Id_Tarjeta_NFC INTEGER AUTO_INCREMENT PRIMARY KEY , Id_Material INTEGER NOT NULL , Created_at TIMESTAMP , Updated_at TIMESTAMP );

2022/08/18 21:23:13 345					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							Tabla Tarjeta_NFC Creada exitosamente

2022/08/18 21:23:13 348					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							CREATE TABLE Tarjeta_NFC(Id_Tarjeta_NFC INTEGER AUTO_INCREMENT PRIMARY KEY , Id_Material INTEGER NOT NULL , Created_at TIMESTAMP , Updated_at TIMESTAMP );

2022/08/18 21:23:13 342					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							Sentencia para crear tabla de la BD's ejecutada exitosamente

2022/08/18 21:23:13 351					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:23:13 452					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:23:13 477					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, existe en BD's

2022/08/18 21:23:13 480					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:23:13 518					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:23:13 536					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:23:13 532					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$getColumnsTable$1					INFO							Información de las columnas de la tabla correspondiente al modelo obtenida
*
*
*
*
*
2022/08/18 21:25:55 827					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:25:55 901					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, No existe en BD's

2022/08/18 21:25:55 906					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:25:55 964					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:25:55 967					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							CREATE TABLE Empleado(Ficha INTEGER NOT NULL PRIMARY KEY , Nombre VARCHAR(254) NOT NULL , Puesto VARCHAR(254) NOT NULL , Updated_at TIMESTAMP , Created_at TIMESTAMP );

2022/08/18 21:25:55 987					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							Sentencia para crear tabla de la BD's ejecutada exitosamente

2022/08/18 21:25:55 993					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							CREATE TABLE Empleado(Ficha INTEGER NOT NULL PRIMARY KEY , Nombre VARCHAR(254) NOT NULL , Puesto VARCHAR(254) NOT NULL , Updated_at TIMESTAMP , Created_at TIMESTAMP );

2022/08/18 21:25:55 990					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							Tabla Empleado Creada exitosamente

2022/08/18 21:25:55 996					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:25:56 096					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:25:56 118					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, existe en BD's

2022/08/18 21:25:56 122					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:25:56 150					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:25:56 162					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$getColumnsTable$1					INFO							Información de las columnas de la tabla correspondiente al modelo obtenida

2022/08/18 21:25:56 165					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada
*
*
*
*
*
2022/08/18 21:26:26 544					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:26:26 627					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, No existe en BD's

2022/08/18 21:26:26 682					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							CREATE TABLE Usuario(Usuario VARCHAR(254) NOT NULL , Contraseña VARCHAR(254) NOT NULL , Id_Usuario INTEGER AUTO_INCREMENT PRIMARY KEY , Updated_at TIMESTAMP , Created_at TIMESTAMP );

2022/08/18 21:26:26 678					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:26:26 632					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:26:26 711					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							Sentencia para crear tabla de la BD's ejecutada exitosamente

2022/08/18 21:26:26 714					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							Tabla Usuario Creada exitosamente

2022/08/18 21:26:26 717					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							CREATE TABLE Usuario(Usuario VARCHAR(254) NOT NULL , Contraseña VARCHAR(254) NOT NULL , Id_Usuario INTEGER AUTO_INCREMENT PRIMARY KEY , Updated_at TIMESTAMP , Created_at TIMESTAMP );

2022/08/18 21:26:26 721					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:26:26 830					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, existe en BD's

2022/08/18 21:26:26 807					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:26:26 833					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:26:26 862					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:26:26 875					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$getColumnsTable$1					INFO							Información de las columnas de la tabla correspondiente al modelo obtenida

2022/08/18 21:26:26 878					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada
*
*
*
*
*
2022/08/18 21:27:06 690					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:27:06 759					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, No existe en BD's

2022/08/18 21:27:06 764					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:27:06 821					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:27:06 825					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							CREATE TABLE Material(Cantidad_Existente INTEGER NOT NULL , Id_Material INTEGER AUTO_INCREMENT PRIMARY KEY , Descripcion VARCHAR(254) NOT NULL , Created_at TIMESTAMP , Updated_at TIMESTAMP );

2022/08/18 21:27:06 843					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							Sentencia para crear tabla de la BD's ejecutada exitosamente

2022/08/18 21:27:06 846					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							Tabla Material Creada exitosamente

2022/08/18 21:27:06 849					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							CREATE TABLE Material(Cantidad_Existente INTEGER NOT NULL , Id_Material INTEGER AUTO_INCREMENT PRIMARY KEY , Descripcion VARCHAR(254) NOT NULL , Created_at TIMESTAMP , Updated_at TIMESTAMP );

2022/08/18 21:27:06 853					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:27:06 998					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:27:07 022					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, existe en BD's

2022/08/18 21:27:07 026					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:27:07 057					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:27:07 068					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$getColumnsTable$1					INFO							Información de las columnas de la tabla correspondiente al modelo obtenida

2022/08/18 21:27:07 072					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:27:07 188					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:27:07 283					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							CREATE TABLE Registro(Id_Material INTEGER NOT NULL , Ficha INTEGER NOT NULL , Id_Usuario INTEGER NOT NULL , Id_Registro INTEGER AUTO_INCREMENT PRIMARY KEY , Fecha_Entrega TIMESTAMP NOT NULL , Cantidad_Entregada INTEGER NOT NULL , Created_at TIMESTAMP , Updated_at TIMESTAMP );

2022/08/18 21:27:07 303					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							Tabla Registro Creada exitosamente

2022/08/18 21:27:07 279					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:27:07 221					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:27:07 215					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, No existe en BD's

2022/08/18 21:27:07 310					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:27:07 299					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							Sentencia para crear tabla de la BD's ejecutada exitosamente

2022/08/18 21:27:07 306					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							CREATE TABLE Registro(Id_Material INTEGER NOT NULL , Ficha INTEGER NOT NULL , Id_Usuario INTEGER NOT NULL , Id_Registro INTEGER AUTO_INCREMENT PRIMARY KEY , Fecha_Entrega TIMESTAMP NOT NULL , Cantidad_Entregada INTEGER NOT NULL , Created_at TIMESTAMP , Updated_at TIMESTAMP );

2022/08/18 21:27:07 659					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, existe en BD's

2022/08/18 21:27:07 640					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:27:07 662					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:27:07 710					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:27:07 707					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$getColumnsTable$1					INFO							Información de las columnas de la tabla correspondiente al modelo obtenida

2022/08/18 21:27:07 698					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente
*
*
*
*
*
2022/08/18 21:44:12 452					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:44:12 513					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:44:12 594					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, existe en BD's

2022/08/18 21:44:12 603					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$dropTableIfExist$1  				INFO							DROP TABLE IF EXISTS Tarjeta_NFC

2022/08/18 21:44:12 599					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:44:12 647					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:44:12 651					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$dropTableIfExist$1  				INFO							Sentencia para eliminar tabla de la BD's ejecutada exitosamente

2022/08/18 21:44:12 660					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$dropTableIfExist$1  				INFO							Tabla Tarjeta_NFC Eliminada exitosamente

2022/08/18 21:44:12 663					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$dropTableIfExist$1  				INFO							DROP TABLE IF EXISTS Tarjeta_NFC

2022/08/18 21:44:12 672					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:44:12 667					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$getColumnsTable$1					INFO							Información de las columnas de la tabla correspondiente al modelo obtenida

2022/08/18 21:44:12 766					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:44:12 898					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:44:12 917					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, No existe en BD's

2022/08/18 21:44:12 921					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:44:12 972					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:44:12 976					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							CREATE TABLE Tarjeta_NFC(Id_Tarjeta_NFC INTEGER AUTO_INCREMENT PRIMARY KEY , Id_Material INTEGER NOT NULL , Created_at TIMESTAMP , Updated_at TIMESTAMP );

2022/08/18 21:44:13 003					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							Sentencia para crear tabla de la BD's ejecutada exitosamente

2022/08/18 21:44:13 007					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							Tabla Tarjeta_NFC Creada exitosamente

2022/08/18 21:44:13 017					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:44:13 011					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							CREATE TABLE Tarjeta_NFC(Id_Tarjeta_NFC INTEGER AUTO_INCREMENT PRIMARY KEY , Id_Material INTEGER NOT NULL , Created_at TIMESTAMP , Updated_at TIMESTAMP );

2022/08/18 21:44:13 174					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:44:13 195					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:44:13 192					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, existe en BD's

2022/08/18 21:44:13 222					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:44:13 265					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:44:13 276					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$getColumnsTable$1					INFO							Información de las columnas de la tabla correspondiente al modelo obtenida

2022/08/18 21:44:13 281					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:44:13 298					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:44:13 315					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, existe en BD's

2022/08/18 21:44:13 318					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:44:13 322					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$dropTableIfExist$1  				INFO							DROP TABLE IF EXISTS Empleado

2022/08/18 21:44:13 340					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$dropTableIfExist$1  				FATAL  							Excepción disparada en el método que Elimina la tabla correspondiente al modelo: java.sql.SQLException: Cannot drop table 'empleado' referenced by a foreign key constraint 'registro_ibfk_3' on table 'registro'.

2022/08/18 21:44:13 346					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:44:13 344					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$dropTableIfExist$1  				FATAL  							Tipo de Excepción : class java.sql.SQLException

2022/08/18 21:44:13 347					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$dropTableIfExist$1  				FATAL  							Causa de la Excepción : null

2022/08/18 21:44:13 354					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$getColumnsTable$1					INFO							Información de las columnas de la tabla correspondiente al modelo obtenida

2022/08/18 21:44:13 357					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:44:13 350					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$dropTableIfExist$1  				FATAL  							Mensaje de la Excepción : Cannot drop table 'empleado' referenced by a foreign key constraint 'registro_ibfk_3' on table 'registro'.

2022/08/18 21:44:13 353					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$dropTableIfExist$1  				FATAL  							Trace de la Excepción : [Ljava.lang.StackTraceElement;@41f3fd5c

2022/08/18 21:44:13 456					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:44:13 475					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:44:13 472					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, existe en BD's

2022/08/18 21:44:13 479					josec  							io.github.josecarlosbran.JBSqlLite.Methods 		lambda$crateTable$0					INFO							La tabla correspondiente al modelo ya existe en la BD's, por lo cual no será creada.

2022/08/18 21:44:13 498					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:44:13 506					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$getColumnsTable$1					INFO							Información de las columnas de la tabla correspondiente al modelo obtenida

2022/08/18 21:44:13 509					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

2022/08/18 21:44:13 524					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:44:13 619					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		getConnection  						INFO							Conexión a BD's JBSQLUTILS Realizada exitosamente

2022/08/18 21:44:13 637					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		lambda$tableExist$0					INFO							La tabla correspondiente a este modelo, existe en BD's

2022/08/18 21:44:13 641					josec  							io.github.josecarlosbran.JBSqlLite.Methods_Conexion		closeConnection						INFO							Conexión a BD's cerrada

